                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1071,                 0.5557,                 1.5043,                0.97324,                0.95536,                0.97691,                0.67578,                  1.169,                0.42846,                 1.6124,               0.006634,               0.006634,               0.006634
                     37,                 1.1058,                0.55377,                 1.5038,                0.97179,                0.95591,                0.97616,                0.67371,                 1.1697,                0.42704,                 1.6107,               0.006535,               0.006535,               0.006535
                     38,                 1.1058,                0.54588,                 1.5051,                 0.9714,                0.95589,                 0.9771,                0.67425,                   1.17,                0.42531,                 1.6123,               0.006436,               0.006436,               0.006436
                     39,                 1.0989,                0.54715,                 1.4981,                0.97506,                0.95366,                0.97683,                0.67649,                 1.1674,                0.42377,                 1.6102,               0.006337,               0.006337,               0.006337
                     40,                 1.0975,                0.54313,                 1.4908,                0.97508,                0.95429,                0.97829,                0.67799,                 1.1661,                0.42485,                 1.6083,               0.006238,               0.006238,               0.006238
                     41,                  1.094,                0.54182,                 1.4939,                0.97324,                0.95543,                0.97826,                0.67833,                 1.1651,                0.42321,                 1.6061,               0.006139,               0.006139,               0.006139
                     42,                 1.0933,                0.53952,                 1.4878,                0.97787,                0.95326,                 0.9783,                0.67919,                  1.163,                 0.4224,                 1.6031,                0.00604,                0.00604,                0.00604
                     43,                  1.086,                0.53101,                 1.4862,                0.97694,                0.95382,                0.97789,                0.67898,                 1.1622,                 0.4216,                 1.6017,               0.005941,               0.005941,               0.005941
                     44,                  1.091,                 0.5299,                 1.4854,                 0.9737,                0.95505,                0.97679,                0.68073,                 1.1604,                 0.4204,                 1.5991,               0.005842,               0.005842,               0.005842
                     45,                 1.0809,                0.52801,                 1.4768,                0.97581,                0.95403,                0.97678,                0.68044,                 1.1587,                0.41973,                 1.5979,               0.005743,               0.005743,               0.005743
                     46,                 1.0815,                0.52495,                 1.4803,                0.97634,                 0.9531,                0.97669,                 0.6805,                 1.1568,                0.41897,                  1.597,               0.005644,               0.005644,               0.005644
                     47,                 1.0798,                0.52392,                  1.476,                0.97646,                0.95329,                0.97683,                0.68103,                 1.1551,                0.41791,                 1.5959,               0.005545,               0.005545,               0.005545
                     48,                 1.0772,                0.52059,                 1.4768,                0.97671,                0.95356,                0.97675,                0.68158,                 1.1542,                0.41718,                 1.5952,               0.005446,               0.005446,               0.005446
                     49,                 1.0719,                0.51927,                 1.4718,                0.97684,                0.95356,                0.97691,                0.68195,                  1.152,                0.41616,                 1.5936,               0.005347,               0.005347,               0.005347
                     50,                 1.0655,                0.51964,                 1.4682,                0.97646,                 0.9532,                0.97714,                0.68377,                 1.1509,                0.41473,                 1.5925,               0.005248,               0.005248,               0.005248
                     51,                  1.069,                0.51306,                 1.4696,                0.97717,                0.95356,                0.97818,                0.68374,                 1.1493,                0.41373,                  1.591,               0.005149,               0.005149,               0.005149
                     52,                 1.0683,                0.51582,                 1.4694,                0.97599,                0.95339,                0.97874,                0.68465,                 1.1476,                0.41326,                 1.5899,                0.00505,                0.00505,                0.00505
                     53,                 1.0613,                0.51176,                 1.4584,                0.97518,                0.95263,                0.97824,                0.68483,                  1.147,                 0.4129,                 1.5891,               0.004951,               0.004951,               0.004951
                     54,                 1.0603,                0.50696,                 1.4623,                0.97542,                0.95263,                0.97742,                0.68526,                 1.1466,                0.41227,                 1.5888,               0.004852,               0.004852,               0.004852
                     55,                 1.0611,                0.50787,                 1.4623,                0.97539,                0.95263,                0.97731,                0.68579,                 1.1462,                0.41128,                 1.5888,               0.004753,               0.004753,               0.004753
                     56,                 1.0554,                0.50372,                   1.46,                0.97504,                0.95271,                0.97753,                0.68564,                 1.1461,                0.41084,                 1.5889,               0.004654,               0.004654,               0.004654
                     57,                 1.0521,                0.50751,                 1.4566,                0.97601,                0.95263,                0.97768,                 0.6861,                 1.1461,                0.41004,                  1.589,               0.004555,               0.004555,               0.004555
                     58,                 1.0519,                 0.5047,                 1.4534,                0.97599,                0.95322,                0.97782,                0.68635,                 1.1453,                0.40938,                 1.5883,               0.004456,               0.004456,               0.004456
                     59,                 1.0473,                0.49849,                  1.452,                0.97699,                0.95356,                 0.9782,                0.68664,                 1.1446,                0.40871,                 1.5878,               0.004357,               0.004357,               0.004357
                     60,                 1.0438,                0.49387,                 1.4429,                0.97741,                0.95389,                0.97824,                0.68657,                 1.1439,                0.40781,                 1.5872,               0.004258,               0.004258,               0.004258
                     61,                 1.0438,                0.49555,                 1.4473,                0.97741,                  0.954,                0.97838,                 0.6874,                 1.1433,                0.40718,                 1.5868,               0.004159,               0.004159,               0.004159
                     62,                 1.0453,                0.49265,                 1.4409,                0.97741,                0.95401,                 0.9785,                0.68736,                 1.1427,                0.40675,                 1.5862,                0.00406,                0.00406,                0.00406
                     63,                 1.0393,                0.48976,                 1.4432,                0.97743,                0.95448,                0.97862,                0.68779,                  1.142,                 0.4064,                 1.5857,               0.003961,               0.003961,               0.003961
                     64,                 1.0362,                0.48761,                 1.4407,                0.97662,                0.95403,                0.97837,                0.68819,                 1.1411,                0.40579,                 1.5851,               0.003862,               0.003862,               0.003862
                     65,                 1.0327,                0.48071,                 1.4409,                0.97585,                 0.9545,                0.97842,                0.68822,                 1.1405,                0.40513,                 1.5845,               0.003763,               0.003763,               0.003763
                     66,                 1.0317,                0.48459,                 1.4319,                0.97558,                0.95571,                0.97854,                0.68774,                 1.1401,                0.40453,                 1.5843,               0.003664,               0.003664,               0.003664
