epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4940.79,1.30041,0.85384,1.36178,0.96652,0.95333,0.96579,0.54496,1.33832,0.79812,1.34585,0.005842,0.005842,0.005842
44,5055.27,1.30052,0.84703,1.36205,0.96216,0.96129,0.9613,0.53479,1.32646,0.80676,1.33867,0.005743,0.005743,0.005743
45,5169.86,1.30116,0.8445,1.36235,0.95624,0.95182,0.96233,0.52941,1.37131,0.80989,1.36692,0.005644,0.005644,0.005644
46,5284.55,1.29621,0.83943,1.35824,0.95777,0.9601,0.96285,0.54117,1.34699,0.77673,1.35619,0.005545,0.005545,0.005545
47,5399.09,1.29792,0.82243,1.36131,0.96475,0.9554,0.96471,0.54593,1.34951,0.76977,1.35518,0.005446,0.005446,0.005446
48,5513.74,1.29954,0.80979,1.3583,0.96268,0.95749,0.96442,0.53968,1.36915,0.75693,1.37151,0.005347,0.005347,0.005347
49,5628.05,1.3,0.80944,1.35992,0.96483,0.95424,0.96309,0.54192,1.35395,0.76044,1.36115,0.005248,0.005248,0.005248
50,5742.22,1.29089,0.80547,1.35698,0.96482,0.96102,0.96561,0.54059,1.36776,0.75843,1.36708,0.005149,0.005149,0.005149
51,5856.27,1.29567,0.79192,1.35942,0.96205,0.95661,0.96427,0.55118,1.34531,0.74019,1.35712,0.00505,0.00505,0.00505
52,5970.61,1.29338,0.79387,1.35203,0.96514,0.95942,0.96519,0.53841,1.37332,0.7565,1.36901,0.004951,0.004951,0.004951
53,6085.07,1.29363,0.78588,1.35946,0.96574,0.95887,0.966,0.54898,1.36801,0.73026,1.37377,0.004852,0.004852,0.004852
54,6199.45,1.2857,0.77705,1.35902,0.95656,0.95557,0.96189,0.54895,1.36561,0.73473,1.37379,0.004753,0.004753,0.004753
55,6313.73,1.28485,0.76761,1.35654,0.96518,0.96094,0.96503,0.54,1.37752,0.73045,1.38082,0.004654,0.004654,0.004654
56,6428.48,1.2839,0.74799,1.35291,0.96084,0.9566,0.96316,0.54494,1.38593,0.70994,1.3942,0.004555,0.004555,0.004555
57,6542.89,1.28144,0.7517,1.35798,0.96468,0.9596,0.96698,0.54611,1.38989,0.71322,1.39038,0.004456,0.004456,0.004456
58,6657.38,1.27427,0.73977,1.35165,0.96393,0.95948,0.9655,0.54132,1.38889,0.70525,1.39282,0.004357,0.004357,0.004357
59,6771.74,1.28129,0.73199,1.34914,0.96504,0.96183,0.96539,0.53505,1.4058,0.69016,1.40521,0.004258,0.004258,0.004258
